"nome","regiao","freq","rank","sexo"
"MARIA",0,11694738,1,"F"
"ANA",0,3079729,2,"F"
"FRANCISCA",0,721637,3,"F"
"ANTONIA",0,588783,4,"F"
"ADRIANA",0,565621,5,"F"
"JULIANA",0,562589,6,"F"
"MARCIA",0,551855,7,"F"
"FERNANDA",0,531607,8,"F"
"PATRICIA",0,529446,9,"F"
"ALINE",0,509869,10,"F"
"SANDRA",0,479230,11,"F"
"CAMILA",0,469851,12,"F"
"AMANDA",0,464624,13,"F"
"BRUNA",0,460770,14,"F"
"JESSICA",0,456472,15,"F"
"LETICIA",0,434056,16,"F"
"JULIA",0,430067,17,"F"
"LUCIANA",0,429769,18,"F"
"VANESSA",0,417512,19,"F"
"MARIANA",0,381778,20,"F"
"GABRIELA",0,378807,21,"F"
"VERA",0,376202,22,"F"
"VITORIA",0,366797,23,"F"
"LARISSA",0,360523,24,"F"
"CLAUDIA",0,358175,25,"F"
"BEATRIZ",0,354980,26,"F"
"RITA",0,354720,27,"F"
"LUANA",0,354625,28,"F"
"SONIA",0,354487,29,"F"
"RENATA",0,345195,30,"F"
"ELIANE",0,342361,31,"F"
"JOSEFA",0,340783,32,"F"
"SIMONE",0,339535,33,"F"
"NATALIA",0,334157,34,"F"
"CRISTIANE",0,327248,35,"F"
"CARLA",0,325334,36,"F"
"DEBORA",0,312839,37,"F"
"ROSANGELA",0,310226,38,"F"
"JAQUELINE",0,307913,39,"F"
"ROSA",0,306336,40,"F"
"APARECIDA",0,303020,41,"F"
"DANIELA",0,302915,42,"F"
"MARLENE",0,301055,43,"F"
"TEREZINHA",0,298311,44,"F"
"RAIMUNDA",0,295061,45,"F"
"ANDREIA",0,290970,46,"F"
"FABIANA",0,290538,47,"F"
"LUCIA",0,287153,48,"F"
"RAQUEL",0,284610,49,"F"
"ANGELA",0,278058,50,"F"
"RAFAELA",0,272718,51,"F"
"JOANA",0,268576,52,"F"
"LUZIA",0,258278,53,"F"
"ELAINE",0,256433,54,"F"
"REGINA",0,252483,55,"F"
"DANIELE",0,251469,56,"F"
"SUELI",0,243899,57,"F"
"DAIANE",0,243820,58,"F"
"ALESSANDRA",0,242273,59,"F"
"ISABEL",0,238919,60,"F"
"SARA",0,233349,61,"F"
"BIANCA",0,232855,62,"F"
"FLAVIA",0,232838,63,"F"
"ERICA",0,231088,64,"F"
"VIVIANE",0,230213,65,"F"
"SILVANA",0,223365,66,"F"
"PRISCILA",0,222460,67,"F"
"PAULA",0,221113,68,"F"
"LUIZA",0,219667,69,"F"
"TEREZA",0,219219,70,"F"
"ISABELA",0,216161,71,"F"
"MARTA",0,214263,72,"F"
"CAROLINE",0,212706,73,"F"
"JANAINA",0,210152,74,"F"
"LAURA",0,209844,75,"F"
"MARLI",0,209633,76,"F"
"TATIANE",0,208945,77,"F"
"MARINA",0,207760,78,"F"
"SILVIA",0,203901,79,"F"
"MONICA",0,203322,80,"F"
"TAIS",0,201501,81,"F"
"MICHELE",0,200531,82,"F"
"SOLANGE",0,199583,83,"F"
"EDNA",0,199053,84,"F"
"FATIMA",0,197512,85,"F"
"HELENA",0,197065,86,"F"
"CRISTINA",0,192208,87,"F"
"ALICE",0,191430,88,"F"
"CAROLINA",0,190497,89,"F"
"ROSANA",0,190286,90,"F"
"ANDRESSA",0,184933,91,"F"
"CELIA",0,184096,92,"F"
"VALERIA",0,183943,93,"F"
"ELIANA",0,181533,94,"F"
"SABRINA",0,179037,95,"F"
"ANDREA",0,174949,96,"F"
"TANIA",0,172242,97,"F"
"BARBARA",0,170703,98,"F"
"THAIS",0,168816,99,"F"
"DENISE",0,168666,100,"F"
"ROSELI",0,168468,101,"F"
"GISELE",0,164780,102,"F"
"MARILENE",0,163944,103,"F"
"KATIA",0,163299,104,"F"
"EVA",0,160617,105,"F"
"MILENA",0,158435,106,"F"
"EDUARDA",0,150633,107,"F"
"ELISANGELA",0,146957,108,"F"
"VILMA",0,145167,109,"F"
"GEOVANA",0,144641,110,"F"
"LUCIENE",0,144238,111,"F"
"TAMIRES",0,142898,112,"F"
"TATIANA",0,142512,113,"F"
"ROBERTA",0,142504,114,"F"
"ELZA",0,141247,115,"F"
"TALITA",0,140494,116,"F"
"MARCELA",0,139351,117,"F"
"PAMELA",0,138009,118,"F"
"VANIA",0,137073,119,"F"
"IRENE",0,136808,120,"F"
"JOSIANE",0,136215,121,"F"
"LIVIA",0,135979,122,"F"
"CINTIA",0,131533,123,"F"
"IVONE",0,131256,124,"F"
"LAIS",0,130730,125,"F"
"BENEDITA",0,128317,126,"F"
"SEBASTIANA",0,128064,127,"F"
"TAINA",0,127613,128,"F"
"JOICE",0,127087,129,"F"
"MIRIAN",0,126200,130,"F"
"ELIZABETE",0,123594,131,"F"
"ANGELICA",0,123200,132,"F"
"GABRIELE",0,122545,133,"F"
"BRENDA",0,120624,134,"F"
"VERONICA",0,119496,135,"F"
"ROSILENE",0,117499,136,"F"
"KARINA",0,117498,137,"F"
"NAIR",0,115715,138,"F"
"NEUSA",0,114846,139,"F"
"MARGARIDA",0,114690,140,"F"
"NEUZA",0,114541,141,"F"
"NEIDE",0,113150,142,"F"
"RAISSA",0,113146,143,"F"
"MAIARA",0,112094,144,"F"
"LORENA",0,111906,145,"F"
"FRANCIELE",0,111831,146,"F"
"SAMARA",0,110087,147,"F"
"LILIAN",0,108676,148,"F"
"JANETE",0,108422,149,"F"
"CICERA",0,108197,150,"F"
"GIOVANA",0,106738,151,"F"
"SEVERINA",0,105892,152,"F"
"LARA",0,105741,153,"F"
"CLEIDE",0,105492,154,"F"
"NICOLE",0,104992,155,"F"
"CECILIA",0,104228,156,"F"
"YASMIN",0,103787,157,"F"
"CONCEICAO",0,102585,158,"F"
"INGRID",0,102491,159,"F"
"SELMA",0,102116,160,"F"
"LEILA",0,101953,161,"F"
"RAIANE",0,101467,162,"F"
"ESTER",0,99770,163,"F"
"REGIANE",0,96432,164,"F"
"MARISA",0,95961,165,"F"
"EUNICE",0,95648,166,"F"
"KELLY",0,95114,167,"F"
"TAINARA",0,94927,168,"F"
"IARA",0,94418,169,"F"
"JOELMA",0,93488,170,"F"
"MARINALVA",0,93355,171,"F"
"TERESINHA",0,92470,172,"F"
"REBECA",0,92065,173,"F"
"GERALDA",0,91752,174,"F"
"CLEONICE",0,90779,175,"F"
"ALEXANDRA",0,89381,176,"F"
"MARA",0,88631,177,"F"
"JENIFER",0,88574,178,"F"
"ELIZANGELA",0,88505,179,"F"
"LILIANE",0,88064,180,"F"
"LIDIA",0,88023,181,"F"
"IRACEMA",0,87953,182,"F"
"LIDIANE",0,86963,183,"F"
"IRACI",0,86816,184,"F"
"MARILIA",0,86734,185,"F"
"SHEILA",0,85939,186,"F"
"INES",0,85322,187,"F"
"NAIARA",0,85317,188,"F"
"POLIANA",0,84237,189,"F"
"DALVA",0,83485,190,"F"
"LURDES",0,83288,191,"F"
"TERESA",0,83045,192,"F"
"ZILDA",0,82927,193,"F"
"LUCILENE",0,82838,194,"F"
"CLARA",0,82626,195,"F"
"ROSANE",0,82203,196,"F"
"IVONETE",0,81878,197,"F"
"LUCIANE",0,81230,198,"F"
"ISADORA",0,81100,199,"F"
"NILZA",0,80128,200,"F"
"PALOMA",0,79036,201,"F"
"CARMEM",0,78651,202,"F"
"SUELEN",0,78501,203,"F"
"ROSIMEIRE",0,78152,204,"F"
"CLEUSA",0,76538,205,"F"
"VANDA",0,76398,206,"F"
"ILDA",0,76368,207,"F"
"JANE",0,75795,208,"F"
"ELIENE",0,75755,209,"F"
"MAYARA",0,74792,210,"F"
"DIANA",0,74684,211,"F"
"SOFIA",0,74612,212,"F"
"ARIANE",0,74046,213,"F"
"SUZANA",0,73753,214,"F"
"MARIANE",0,73675,215,"F"
"CLARICE",0,73418,216,"F"
"DAIANA",0,73147,217,"F"
"EDILENE",0,71690,218,"F"
"MIRIAM",0,70796,219,"F"
"ELISABETE",0,70290,220,"F"
"ELIETE",0,70159,221,"F"
"KARINE",0,69509,222,"F"
"JUSSARA",0,68658,223,"F"
"IZABEL",0,68590,224,"F"
"ODETE",0,68467,225,"F"
"KAREN",0,68230,226,"F"
"LUISA",0,68227,227,"F"
"CASSIA",0,67625,228,"F"
"ALANA",0,67615,229,"F"
"MONIQUE",0,67474,230,"F"
"CATIA",0,67451,231,"F"
"LUCIMAR",0,67004,232,"F"
"DEISE",0,66902,233,"F"
"ISABELE",0,66609,234,"F"
"KEILA",0,66407,235,"F"
"EVELIN",0,66167,236,"F"
"ANDREZA",0,65919,237,"F"
"ADRIELE",0,65797,238,"F"
"JOSEANE",0,65464,239,"F"
"LOURDES",0,64837,240,"F"
"YASMIM",0,64724,241,"F"
"ALZIRA",0,64176,242,"F"
"CARINA",0,63313,243,"F"
"ERIKA",0,62909,244,"F"
"GISLAINE",0,62587,245,"F"
"EMILY",0,61969,246,"F"
"JAMILE",0,61886,247,"F"
"CLAUDETE",0,61804,248,"F"
"CATARINA",0,61659,249,"F"
"GESSICA",0,61002,250,"F"
"MANUELA",0,60907,251,"F"
"TELMA",0,60157,252,"F"
"ELEN",0,60039,253,"F"
"ARLETE",0,59608,254,"F"
"GENI",0,59496,255,"F"
"HELOISA",0,59109,256,"F"
"ELIZETE",0,58849,257,"F"
"VALDIRENE",0,58793,258,"F"
"VALQUIRIA",0,58746,259,"F"
"ELOISA",0,58521,260,"F"
"NADIR",0,57078,261,"F"
"JULIANE",0,57043,262,"F"
"ZELIA",0,56967,263,"F"
"JANDIRA",0,56747,264,"F"
"DIRCE",0,56701,265,"F"
"EMILI",0,56555,266,"F"
"CARMEN",0,56433,267,"F"
"FABIOLA",0,56394,268,"F"
"AMELIA",0,56130,269,"F"
"REJANE",0,56125,270,"F"
"ESTEFANI",0,56002,271,"F"
"MAIRA",0,55979,272,"F"
